title,platform,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,Production Cost,release_year,Developer_metacritic_game_info,Genre_metacritic_game_info,Metascore_metacritic_game_info,Avg_Userscore_metacritic_game_info,No. of players_metacritic_game_info,releasedate_VGOutput,releasedate_raw,releasedate_quarter,releasedate_link,releasedate_1986-2023,Userscore,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60,component_61,component_62,component_63,component_64,component_65,component_66,component_67,component_68,component_69,component_70,component_71,component_72,component_73,component_74,component_75,component_76,component_77,component_78,component_79,component_80,component_81,component_82,component_83,component_84,component_85,component_86,component_87,component_88,component_89,component_90,component_91,component_92,component_93,component_94,component_95,component_96,component_97,component_98,component_99
(c 12) Final Resistance,PS,Shooter,IBM,1.0,6.5,4.0,8.0,5.08,1.1,5.7,3.54,15.42,1.98,2002,,,,,,,,00:00:00,https://www.google.com/search?q=(c 12) Final Resistance PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.hack Sekai no Mukou ni  Versus,PS3,Fighting,IBM,6.0,10.0,6.0,269.0,3.0,1.86,0.03,6.43,8.35,3.34,2012,,,,,,,,00:00:00,https://www.google.com/search?q=.hack Sekai no Mukou ni  Versus PS3 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007 Quantum of Solace,PS2,Shooter,Activision,8.0,7.8,4.0,81.0,3.0,0.17,1.21,2.22,4.03,2.05,2008,,,,,,,,00:00:00,https://www.google.com/search?q=007 Quantum of Solace PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007 Quantum of Solace,PS3,Shooter,Activision,3.0,6.6,10.0,158.0,1.14,0.43,0.02,0.51,2.1,1.19,2008,,,,,,,,00:00:00,https://www.google.com/search?q=007 Quantum of Solace PS3 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007 The World is not Enough,PS,Shooter,Electronic Arts,1.0,6.4,1.0,240.0,3.0,0.51,3.75,0.35,5.53,1.5,2000,,,,,,,,00:00:00,https://www.google.com/search?q=007 The World is not Enough PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007 Tomorrow Never Dies  The World is not Enough,PS,Shooter,Electronic Arts,6.0,7.0,7.0,294.0,2.94,2.3,1.37,2.14,8.75,4.27,2002,,,,,,,,00:00:00,https://www.google.com/search?q=007 Tomorrow Never Dies  The World is not Enough PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007 Racing,PS,Racing,Electronic Arts,3.0,6.1,8.0,210.0,3.0,0.3,4.94,0.2,5.97,2.8,2000,,,,,,,,00:00:00,https://www.google.com/search?q=007 Racing PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 on 1,PS,Sports,Frontier Developments,1.0,2.0,5.0,174.0,3.74,1.98,2.34,1.16,9.22,5.76,2009,,,,,,,,00:00:00,https://www.google.com/search?q=1 on 1 PS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Days Under the Sea,PC,Puzzle,Electronic Arts,2.0,10.0,3.0,21.0,5.5,4.74,3.85,3.73,17.82,3.89,2008,,,,,,,,00:00:00,https://www.google.com/search?q=10 Days Under the Sea PC release date,2008-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Talismans,PC,Puzzle,Frontier Developments,3.0,7.0,1.0,277.0,2.67,2.37,5.75,3.62,14.41,6.33,2006,,,,,,,,00:00:00,https://www.google.com/search?q=10 Talismans PC release date,2006-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 All Time Favorites,DS,Puzzle,Ubisoft,6.0,1.0,3.0,149.0,3.0,0.35,5.32,0.12,6.3,3.81,2009,,,,,,,,00:00:00,https://www.google.com/search?q=100 All Time Favorites DS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Kiri Golf DS,DS,Sports,Ubisoft,8.0,9.0,3.0,103.0,5.29,4.71,3.91,5.02,18.93,1.18,2008,,,,,,,,00:00:00,https://www.google.com/search?q=100 Kiri Golf DS DS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001 Crosswords,DS,Puzzle,IBM,9.0,8.0,5.0,118.0,5.88,2.61,3.53,2.06,14.08,0.02,2012,,,,,,,,00:00:00,https://www.google.com/search?q=1001 Crosswords DS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12Riven The Psi Climinal of Integral,PC,Adventure,IBM,8.0,6.0,10.0,115.0,6.35,4.12,5.2,6.69,22.36,3.99,2008,,,,,,,,00:00:00,https://www.google.com/search?q=12Riven The Psi Climinal of Integral PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12Riven The Psi Climinal of Integral,PS2,Adventure,Frontier Developments,4.0,7.0,10.0,91.0,3.0,1.85,0.04,5.9,7.83,4.06,2008,,,,,,,,00:00:00,https://www.google.com/search?q=12Riven The Psi Climinal of Integral PS2 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Sentinels Aegis Rim,PS4,Adventure,Ubisoft,7.0,5.0,10.0,0.13,7.87,2.97,2.52,6.78,20.14,1.74,2020,,,,,,,,00:00:00,https://www.google.com/search?q=13 Sentinels Aegis Rim PS4 release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Days,PC,Adventure,Activision,8.0,3.0,9.0,17.0,3.0,1.18,3.28,0.01,4.48,3.77,2009,,,,,,,,00:00:00,https://www.google.com/search?q=15 Days PC release date,2015-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500DS Spirits Vol. 3 Block Kuzushi,DS,Puzzle,IBM,5.0,6.0,1.0,162.0,6.48,4.42,4.98,6.99,22.87,6.08,2007,,,,,,,,00:00:00,https://www.google.com/search?q=1500DS Spirits Vol. 3 Block Kuzushi DS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500DS Spirits Vol. 8 Darts,DS,Sports,Frontier Developments,7.0,8.0,5.0,44.0,4.96,4.33,1.47,3.89,14.65,5.64,2007,,,,,,,,00:00:00,https://www.google.com/search?q=1500DS Spirits Vol. 8 Darts DS release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503 A.D. The New World,PC,Simulation,Electronic Arts,8.0,7.0,9.0,1.0,1.24,4.9,1.06,2.69,9.89,3.49,2003,,,,,,,,00:00:00,https://www.google.com/search?q=1503 A.D. The New World PC release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
