Title,Platform,Genre,Publisher,VGScore,CriticScore,UserScore,TotalShipped,AsianSales,NorthAmericaSales,JapanSales,EuropeSales,GlobalSales,ProductionCost,ReleaseYear_v1,Developer,MultipleGenre,MetaScore,AvgUserScore,NoOfPlayers,releasedate_1986-2023,releasedate_VGOutput,releasedate_raw,ReleaseDate,releasedate_link,ReleaseYear,ReleaseMonth,EndOfMonth,ReleaseQuarter,ReleaseWeekDay,ReleaseWeekend,ReleaseWeek
(c 12) Final Resistance,PS,Shooter,IBM,1,6.5,4,8,5.08,1.1,5.7,3.54,15.42,1.98,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=(c 12) Final Resistance PS release date,,,,,,,
.hack Sekai no Mukou ni  Versus,PS3,Fighting,IBM,6,10,6,269,3,1.86,0.03,6.43,8.35,3.34,2012,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=.hack Sekai no Mukou ni  Versus PS3 release date,,,,,,,
007 Quantum of Solace,PS2,Shooter,Activision,8,7.8,4,81,3,0.17,1.21,2.22,4.03,2.05,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=007 Quantum of Solace PS2 release date,,,,,,,
007 Quantum of Solace,PS3,Shooter,Activision,3,6.6,10,158,1.14,0.43,0.02,0.51,2.1,1.19,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=007 Quantum of Solace PS3 release date,,,,,,,
007 The World is not Enough,PS,Shooter,Electronic Arts,1,6.4,1,240,3,0.51,3.75,0.35,5.53,1.5,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=007 The World is not Enough PS release date,,,,,,,
007 Tomorrow Never Dies  The World is not Enough,PS,Shooter,Electronic Arts,6,7,7,294,2.94,2.3,1.37,2.14,8.75,4.27,2002,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=007 Tomorrow Never Dies  The World is not Enough PS release date,,,,,,,
007 Racing,PS,Racing,Electronic Arts,3,6.1,8,210,3,0.3,4.94,0.2,5.97,2.8,2000,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=007 Racing PS release date,,,,,,,
1 on 1,PS,Sports,Frontier Developments,1,2,5,174,3.74,1.98,2.34,1.16,9.22,5.76,2009,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=1 on 1 PS release date,,,,,,,
10 Days Under the Sea,PC,Puzzle,Electronic Arts,2,10,3,21,5.5,4.74,3.85,3.73,17.82,3.89,2008,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=10 Days Under the Sea PC release date,,,,,,,
10 Talismans,PC,Puzzle,Frontier Developments,3,7,1,277,2.67,2.37,5.75,3.62,14.41,6.33,2006,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,0/1/1900,https://www.google.com/search?q=10 Talismans PC release date,,,,,,,
