name,platform,platform1,user_rating,critic_rating,release_date,summary,description,metacritic
Full Throttle,PC,PC,8.5,86,"April 30, 1995","You're Ben--beaten, framed for murder and left for dead on the roadside. You've got a lump on your back and a feeling in your gut that the road you're on is about to get a lot rougher. Full Throttle features an amazingly simple interface and fast-paced action. Brilliant graphics and animation provide a strong cartoon feel, while the voice acting is powerful and cinematic. Players find themselves racing to the finish to help Ben find the bad guys.","<p>One minute you&#39;re on the road, riding. Not a care in the world. Then some guy in a suit comes along, says he&#39;s got a deal for you and your gang. But when you come to, you&#39;ve got a lump on your head, the law on your back, and a feeling in your gut that the road you&#39;re on is about to get a lot rougher...</p>",86
Sid Meier's Civilization II,PC,PC,8.7,94,"February 29, 1996","An empire-building turn-based strategy game. The game starts at the Old Stone Age in 4000 BC. Your tribe begins with a Settlers unit and has no knowledge about the surrounding area. As you found new cities and explore the surroundings, you may find hostile barbarians, villages, and other competing cultures. [Civ Fantatics' Center]","<p>Make every critical social, economic and political decision as you build an empire to span history. Compete against some of the greatest leaders of all time. It’s discovery. It’s diplomacy. It’s your destiny. So plan your every move carefully. Because in this game, you either stand the test of time or you’re history.</p>",94
Quake,PC,PC,8.8,94,"June 22, 1996","Rage through 32 single player levels and 6 deathmatch levels of sheer terror and fully immersive sound and lighting. Arm yourself against the cannibalistic Ogre, fiendish Vore and indestructible Schambler using letal nails, fierce Thunderbolts and abominable Rocket and Grenade Launchers. [id Software]","<h3>The roots</h3>
<p>One of the classic representatives of the first-person shooter genre. Designed and released in 1996 by the authors of the groundbreaking game Doom - iD Software. This is the first game to start the still ongoing series. Unlike its famous predecessor, the game uses an engine capable of rendering full-fledged 3D: the game supports an earlier version of 3D acceleration through OpenGL. After moving to a new engine, the game needed a new control scheme: the movement is now possible in all three directions, including the vertical axis. This feature added to the game an additional difficulty: player have to expect the enemy attack from any direction. The game also has a full-fledged multiplayer, the previous version of which the Doom players liked.</p>
<h3>Key features</h3>
<p>In a single player campaign, the player takes control of the main character named Ranger, who went to the portal in order to stop the unknown enemies, code-named Quake. The plot of the adventure consists of 32 separate levels. Six more maps are available in multiplayer for the battles between the players for deathmatch mayhem. Two mission packs were released for the game, which adds new enemies, new levels, new maps, new weapons and a new experience for players to the original game. Both packs were greatly received by both players and critics.</p>",94
Diablo,PC,PC,8.6,94,"December 31, 1996","The kingdom of Khandaras has fallen into chaos. An unknown force of evil has swept across the land. Plunging it nto civil war and terrorizing the populace. A mad king, his missing son, and a mysterious archbishop are all pieces to the puzzle that faces you. You have journeyed to the source of the evil. The town of Tristram. Now inhabited by only a handful of survivors. The catherdal there is buildt over the ruins of an ancient monastary, and now eerie lights and sounds are heard echoing through its abandoned halls. Perhaps the answer lies withing the remains of a forgotten past... Diablo invites you to enter a world of dark gothic fantasy. Play as a brave warrior, cunning rogue or mysterious sorceror. As you venture deeper into the labyrinth, you'll discover weapons, armor, and magical treasures, and develop your character's skills and abilities. [Blizzard]","<p>Traveler, stay awhile and listen...</p>
<p>Darkness stirs beneath Tristram. An ancient evil sweeps across the land, plunging it into civil war and terrorizing the populace. A mad king, his missing son, and a mysterious archbishop are all pieces of the puzzle you need to hack through. You have journeyed to the source of this evil. The town of Tristram - now inhabited only by a handful of survivors, broken and twisted by the madness that has befallen them. A cathedral stands there, built over the ruins of an ancient monastery. Eerie lights and ungodly sounds are heard echoing through its abandoned halls, and that is where you shall venture.</p>
<p>Embark, if you dare, on a quest to destroy The Prime Evil…</p>
<pre><code>Experience the legendary action/RPG that influenced an entire genre.  
Storm Diablo&amp;#39;s halls as either a Warrior, a Sorcerer or a Rogue - each with unique skills and abilities.  
Unite to destroy Diablo - up to 4 players can band together via Internet, or play head-to-head via LAN.  
Unprecedented replayability - over 200 different monsters inhabit Diablo&amp;#39;s ever-changing labyrinth. Equip epic items to conquer fearsome bosses and their minions.  
A spine-chilling story - experience the horror of a world held in the grasp of The Lord of Terror.
</code></pre>
<p>Ahhh, fresh meat!</p>
<p>Travelers looking for the authentic Diablo experience can play the game as it was in 1996, with period-appropriate 20 FPS SVGA graphics, and the ability to matchmake through the classic version of Blizzard’s Battle.net® online-gaming service.<br />
For those wanting something a bit more modern, Blizzard and GOG.COM have collaborated on an updated version of the game tuned for today’s gaming PCs, which includes out-of-the-box Windows 10 compatibility, a host of bug fixes and high-resolution support via aspect ratio-correct upscaling.</p>
<pre><code>The most voted game on the GOG.com wishlist, finally trapped in a DRM-free soulstone!  
Return to the beginning of this dark saga, now in digital format for the first time ever.  
Better value than Wirt&amp;#39;s wares, guaranteed.
</code></pre>",94
Super Mario 64,Nintendo 64,#N/A,9.1,94,"September 26, 1996","Mario is super in a whole new way! Combining the finest 3-D graphics ever developed for a video game and an explosive sound track, Super Mario 64 becomes a new standard for video games. It's packed with bruising battles, daunting obstacle courses and underwater adventures. Retrieve the Power Stars from their hidden locations and confront your arch nemesis - Bowser, King of the Koopas!","<p>Mario is super in a whole new way! Combining the finest 3-D graphics ever developed for a video game and an explosive sound track, Super Mario 64 becomes a new standard for video games. It&#39;s packed with bruising battles, daunting obstacle courses and underwater adventures. Retrieve the Power Stars from their hidden locations and confront your arch nemesis - Bowser, King of the Koopas!</p>",94
Wipeout XL,PlayStation,PS,8.5,93,"September 30, 1996","The original scorched the game world and became an instant classic. Fast-forward now to a brutal new generation of anti gravity racing. Loaded with faster, smoother graphics, more tracks, more crafts, and a range of nasty new weaponry. Wipeout XL will give you the rush of your life.","<p>Wipeout XL is a racing game developed by Psygnosis. It was originally released in 1997. It was published by Psygnosis. The game is rated as ""Recommended"" on RAWG. <br>Wipeout XL is available on PC. <br>Tim Wright scored the game. <br></p>",
Wave Race 64,Nintendo 64,#N/A,8.3,92,"November 1, 1996","Wave Race 64 is sure to provide some of the most exciting racing you've ever experienced. Feel the pounding and crashing of the waves as you accelerate into straight-aways, whip around the marker buoys and go airborne on the jump ramps. Don't race alone - challenge a friend! Take control in three different modes of play - Championship, Time Trials and Stunt Mode. Nine challenging courses set in exotic locales - race conditions change and the wave action responds to the way both you and your opponents race!","<p>Wave Race 64 is a racing video game developed by Nintendo EAD and published by Nintendo. It was released for the Nintendo 64 in 1996 and is a follow-up to the 1992 Game Boy title Wave Race. Most of the game involves the player racing on a Jet Ski on a variety of courses while successfully manoeuvring the vehicle around various buoys. A multiplayer mode where two players can compete against each other on a chosen course is also included. The game supports the Controller Pak, which allows players to transfer saved data from one game cartridge to another.<br />
Originally referred to as &quot;F-Zero on water&quot;, the game was intended to feature high-speed boats with transforming capabilities. However, these were ultimately replaced with Jet Skis as producer Shigeru Miyamoto felt that the game would not be differentiated enough from other titles on other systems. Wave Race 64 received critical acclaim from critics, who praised the game&#39;s satisfying controls and dynamic watery environments. The game is credited for helping Nintendo effectively make its paradigmatic leap from the 16-bit 2D graphics of the Super Nintendo Entertainment System to the Nintendo 64&#39;s 3D capabilities. It was re-released for the Wii and Wii U&#39;s Virtual Console in 2007 and 2016, respectively. A sequel, Wave Race: Blue Storm, was released in 2001.</p>",92
Tomb Raider,PlayStation,PS,8.3,91,"November 15, 1996","Climb, swim, and backflip your way through a maze of cryptic deathtraps so realistic you can practically smell the decaying flesh. Unload an arsenal of lethal firepower on any wild-dog, giant lizard or blood-thirsty mercenary that gets in your way.
Your mission is the deadliest one to date -- the recovery of the fabled Scion, an incredible treasure reputed to give its possessor vast power. Get ready to cross the globe to take on impossible odds while exploring Incan ruins, Ancient Rome, Egyptian Pyramids, and the Lost City of Atlantis...","<p>Take control of the most famous woman in gaming, in Lara’s original adventure that started it all. Explore massive prehistoric worlds, fight savage beasts and outwit rival treasure hunters. Fraught with intrigue, excitement and danger, Lara’s adventure takes her from the ancient ruins of the Incans to the lost city of Atlantis in search of the mysterious Scion.</p>",88
Resident Evil,PlayStation,PS,9.5,91,"March 30, 1996","Raccoon City has been completely overrun by mutant beasts and bloodthirsty zombies. You are a member of S.T.A.R.S.--a rescue squad sent into the community to investigate the ominous mansion at the core of the disaster. Take the role of operative Jill Valentine or Chris Redfield and uncover the secrets behind a radical, genetic research facility. With an array of weapons to master and horrors around every corner, the ultimate test may be just to make it out alive.","<p>Resident Evil is a survival horror video game developed by Capcom Production Studio 4 and published by Capcom. Released for the GameCube video game console in 2002, it is a remake of the 1996 PlayStation game Resident Evil, the first installment in the Resident Evil video game series. The story takes place in 1998 near the fictional Midwestern town of Raccoon City where a series of bizarre murders have taken place. The player takes on the role of either Chris Redfield or Jill Valentine, S.T.A.R.S. agents sent in by the city to investigate the murders.</p>",88
Command & Conquer: Red Alert,PC,PC,8.7,90,"November 22, 1996","Surrender is not an option. Dark experiments have permanently altered time. Or have they? Now, Soviet tanks crush city after city while Allied cruisers shell bases. Spies lurk, land mines wait, and strange new technologies aid both sides in their struggle for ultimate control.Command & Conquer: Red Alert gives you the opportunity to be more devious, cunning and ruthless than ever before. Easy to play and highly addictive, Red Alert puts the fate of the world in your hands! [Westwood]","<p>Purchase this PS one® Classic and play it on both your PS3™ and PSP® (PlayStation®Portable) systems!</p>
<p>Re-live the glory of the first Red Alert™ in the Command &amp; Conquer™ franchise with this downloadable PS one® Classic.  Imagine an alternate history where Hitler never existed, and the USSR and Stalin rose to power and begin a full scale invasion of Europe.  Welcome to Red Alert™, comrade.  Wage World War II like never before as the Allied faction and restore freedom, or claim Europe for the glory of the Soviet Union in over 25 strategic missions.</p>
<p>Transferring to a PSP® system from your PS3™ system:<br />
You must be signed into the PlayStation®Network account that originally purchased the game.  You must have at least 978 MB free on your Memory Stick Duo™.  Connect your PSP® system to your PS3™ system with a USB cable and switch your PSP® system to USB Mode. Highlight the game on the PS3™ XMB™, press the Δ button and select Copy.</p>
<p>PC Store Customers:<br />
Log into your PlayStation®Network account that you originally used to purchased the game.  Then, download the game from your “Download List” in the PlayStation®Store onto your PS3™ system.<br />
This title has been converted from the original PlayStation® disc to the PSP® and the PS3™ systems. Consequently, there may be times where the title plays differently from the PlayStation® disc version, or where some features may not function properly.  This version does not support PlayStation® peripherals (controller, memory card, multitap, etc.), therefore functionalities such as multiplayer, versus, and co-op modes are not available.<br />
Purchase indicates acceptance of the PlayStation®Network Terms of Service/User Agreement and this item&#39;s use restrictions.  If you do not wish to accept all these terms, do not purchase this item.  One-time license fee for downloads to up to 2 console systems and 2 portable systems that are associated with the purchasing account.<br />
Command &amp; Conquer™ Red Alert™ © 1996, 2009 Electronic Arts Inc.  All Rights Reserved.  All other trademarks are the property of their respective owners.<br />
&quot;PlayStation&quot;, &quot;PS&quot; Family logo, and &quot;PSP&quot; are registered trademarks of Sony Computer Entertainment Inc.</p>",81
